Tue Nov 04 05:42:25 +0000 2014,@ebrown2112,@thisismydesignn Yeah, John Gallagher's good. So is Zoe Kazan (she favorited 4 of my tweets :D )  Bill Murray was good, of course.,
Tue Nov 04 05:41:32 +0000 2014,@bellevuetracy,OMFG WE JUST TALKED ABOUT THIS! @MTenore    http://t.co/ZEwMJi4LWB,
Tue Nov 04 05:40:20 +0000 2014,@rachelizabeth82,I just love #BillMurray http://t.co/qUNPizRRMf,
Tue Nov 04 05:38:41 +0000 2014,@Portland_Beer,@danieljpollard #Yamazaki makes me think of Bill Murray in Lost in Translation. #Suntory Hibiki 17,
Tue Nov 04 05:38:20 +0000 2014,@The_New_Age,'Magic City' to be revived as a movie with Bruce Willis and Bill Murray | http://t.co/iBEkox6Xe7 http://t.co/dGoQL98qYt,
Tue Nov 04 05:36:03 +0000 2014,@thepumpkinbitch,"I wish Bill Murray was my dad",
Tue Nov 04 05:34:43 +0000 2014,@theodoremelfi,RT @jaysonevans: Bill Murray is superb in St. Vincent... #StVincentMovie,
Tue Nov 04 05:34:15 +0000 2014,@gab88slash,"@ilpost: Una versione Bill Murray di una canzone perfetta per quest'ora http://t.co/zXJhfFLBV3"dopo una notte di rifugio in aeroporto poi..,
Tue Nov 04 05:34:14 +0000 2014,@travisgetty,Bill Murray in kingpin. So awesome.,
Tue Nov 04 05:34:07 +0000 2014,@sumiko331,Bill Murray Talks Tinder, Hits On One Of Kimmel's Cameramen http://t.co/RqOcV7q1GK http://t.co/RzZLpKAdl1,
Tue Nov 04 05:33:52 +0000 2014,@theodoremelfi,RT @Andrew_Munson: Seriously guys, Bill Murray is one of a kind. #StVincent,
Tue Nov 04 05:30:35 +0000 2014,@_hood_typical_,Kinda weird that I never noticed Bill Murray in this old photo of me until just now. #tbt http://t.co/tjAnU32x8F,
Tue Nov 04 05:29:31 +0000 2014,@Cheeserball,Oh man, Kingpin is available for Netflix streaming. Amish. Bowling. Woody Harrelson. Bill Murray. THIS MOVIE HAS IT ALL. &lt;3,
Tue Nov 04 05:29:11 +0000 2014,@FrancFriday,http://t.co/dCNnZ1J0Gj,
Tue Nov 04 05:26:51 +0000 2014,@mayaamor,bill (ghostbustin ass) murray. love this man. http://t.co/HXMuJZVz14,
Tue Nov 04 05:26:04 +0000 2014,@zehiwuqunulo,RT @thedailybeast: Bill Murray's Words of Wisdom: On Comedy, the Greatness of In-N-Out Searching For Great Love t,,
Tue Nov 04 05:25:50 +0000 2014,@Casablanca33,RT @GusRamsey: How to hire Bill Murray: Ted Melfi's 12-step plan for 'St. Vincent' http://t.co/Hbs4zrEFeL hat tip to @msimonespn for the li,
Tue Nov 04 05:25:42 +0000 2014,@zerogeewhiz,I can't imagine Bill Murray and Ricky Muir getting on all that well. http://t.co/xk2PkMbzpQ,
Tue Nov 04 05:25:00 +0000 2014,@TanyaHatesU,Can't wait to watch Olive Kitteridge. I'll watch anything w Bill Murray and watch any HBO miniseries. Ever,
Tue Nov 04 05:24:53 +0000 2014,@HighEnd_Gear,#Amazon USA : Saturday Night Live: The Complete Second Season, 19... by Bill Murray http://t.co/3b38jbBnOR  #SNL,
Tue Nov 04 05:22:29 +0000 2014,@mbs11,RT @TheAtlantic: Being Bill Murray (via @RollingStone) http://t.co/ZaYEzPiI8H,
Tue Nov 04 05:21:27 +0000 2014,@soniantics,RT @GerardoGayo: @soniantics gracias por entregar mi tarea. Bill murray approves your favour. http://t.co/lghha2kpEK,
Tue Nov 04 05:21:21 +0000 2014,@Project_lopezz,RT @OhDaannyBoy: Bill Murray is King.,
Tue Nov 04 05:21:17 +0000 2014,@Bim_Tredder,Updated top 3 actors list: Leonardo DiCaprio, Bill Murray. Kevin Spacey.,
Tue Nov 04 05:21:10 +0000 2014,@OhDaannyBoy,Bill Murray is King.,
Tue Nov 04 05:19:54 +0000 2014,@CountryMusic143,Photoset: milk-roses: sizvideos: Bill Murray Crashes Bachelor Party, Gives Awesome Speech I think this... http://t.co/AXezfmA6yq,
Tue Nov 04 05:19:43 +0000 2014,@CapitanKayla,Somebody needs to stop bill murray,
Tue Nov 04 05:19:40 +0000 2014,@alfestone,Photoset: milk-roses: sizvideos: Bill Murray Crashes Bachelor Party, Gives Awesome Speech I think this... http://t.co/ST2VT3NkCq,
Tue Nov 04 05:01:32 +0000 2014,@PamLicavoli,A little disappointed with the end of #OliveKitteridge. Bill Murray should have entered earlier rather than later. Loved Frances tho, always,
Tue Nov 04 04:59:06 +0000 2014,@hoglundan,Bill Murray is great in #OliveKitteridge but his role is a clear play on Herman Blume with a dash of Jack Nicholson from terms of Endearment,
Tue Nov 04 04:58:36 +0000 2014,@the_barbarion,THEY'RE COMING OUT WITH A NEW THE JUNGLE BOOK AND BILL FUCKING MURRAY IS THE VOICE OF BALOO!!!!!,
Tue Nov 04 04:57:58 +0000 2014,@truthglow,RT @RichardCodey: Over the weekend Mary Jo and I saw, 'St. Vincent' Starring Bill Murray and Melissa McCarthy.  I give 3 Stars, it... http:,
Tue Nov 04 04:53:26 +0000 2014,@Jose_mdina,Bill Murray es el puto amo  http://t.co/2Y9GR0EPFT,
